Transaction_ID,Customer_ID,Name,Email,Phone,Address,City,State,Zipcode,Country,Age,Gender,Income,Customer_Segment,Date,Year,Month,Time,Total_Purchases,Amount,Total_Amount,Product_Category,Product_Brand,Product_Type,Feedback,Shipping_Method,Payment_Method,Order_Status,Ratings,products
6146494.0,59837.0,Melissa Watkins,Alex99@gmail.com,9630844132.0,73982 Huang Inlet,Oakland,North Carolina,28394.0,USA,20.0,Female,Medium,Regular,11/21/2023,2023.0,November,0:41:54,8.0,99.2867149,794.2937192,Home Decor,IKEA,Lighting,Bad,Same-Day,Cash,Delivered,1.0,Under cabinet lighting
7944026.0,14639.0,Melody Watkins,Gary97@gmail.com,6859299017.0,86585 Amanda Stream,Geelong,New South Wales,51995.0,Australia,20.0,Male,Medium,Premium,12/14/2023,2023.0,December,5:41:37,5.0,49.28475143,246.4237571,Home Decor,Home Depot,Tools,Good,Same-Day,Credit Card,Processing,3.0,Screwdriver set
5356010.0,36548.0,Mrs. Rhonda Henry,Maria68@gmail.com,1081483072.0,000 Garcia Circles,Wuppertal,Berlin,55979.0,Germany,20.0,Female,Medium,Premium,7/9/2023,2023.0,July,6:46:23,1.0,218.5448965,218.5448965,Clothing,Zara,Jeans,Excellent,Same-Day,Debit Card,Shipped,4.0,Flare jeans
4599036.0,19200.0,Angela Mccann,Anthony77@gmail.com,5353611673.0,9580 Jeffrey Roads Suite 832,Hobart,New South Wales,30178.0,Australia,20.0,Female,Low,Regular,4/15/2023,2023.0,April,12:41:50,6.0,447.1647384,2682.98843,Home Decor,Home Depot,Tools,Bad,Same-Day,Debit Card,Processing,1.0,Level
7509060.0,98709.0,Bianca Walls,Emily13@gmail.com,7019250414.0,944 Cook Corners Suite 522,Manchester,England,44924.0,UK,20.0,Male,Medium,New,3/31/2023,2023.0,March,11:39:10,6.0,207.262119,1243.572714,Electronics,Sony,Television,Excellent,Express,Debit Card,Processing,5.0,LED TV
9290705.0,69804.0,Terry Harris,Dominic88@gmail.com,1015147064.0,659 Boyd Points Suite 208,Munich,Berlin,35352.0,Germany,20.0,Male,Low,Regular,12/24/2023,2023.0,December,11:38:50,5.0,209.2648672,1046.324336,Clothing,Nike,T-shirt,Average,Standard,Credit Card,Delivered,2.0,Henley tee
5707862.0,55733.0,Mike Wood,Katie8@gmail.com,6902468166.0,536 Wolfe Lane,Barrie,Ontario,1387.0,Canada,20.0,Male,Medium,New,6/19/2023,2023.0,June,1:19:08,10.0,324.6203152,3246.203152,Home Decor,IKEA,Decorations,Average,Express,Credit Card,Processing,2.0,Mirrors
7658173.0,25591.0,Andrew Harris,Kathryn3@gmail.com,7488106505.0,906 Jason Club Apt. 122,London,England,57732.0,UK,20.0,Female,Low,New,6/2/2023,2023.0,June,8:58:42,7.0,314.2068608,2199.448026,Books,Penguin Books,Children's,Bad,Express,PayPal,Processing,1.0,Games
8609884.0,39773.0,Cynthia Wang,Ronald10@gmail.com,5611787445.0,076 Calhoun Estate Apt. 865,Mackay,New South Wales,44486.0,Australia,20.0,Female,Low,New,8/2/2023,2023.0,August,2:59:26,10.0,38.83153933,388.3153933,Grocery,Coca-Cola,Water,Good,Express,Cash,Processing,3.0,Flavored water
9855005.0,82251.0,Danielle Strickland,Thomas10@gmail.com,4849846789.0,6216 Michelle Brooks,Saskatoon,Ontario,67075.0,Canada,20.0,Male,Medium,Regular,3/21/2023,2023.0,March,1:58:07,2.0,260.6407971,521.2815943,Clothing,Zara,Dress,Bad,Standard,Cash,Shipped,1.0,Shift dress
7877038.0,56299.0,Corey Ryan,Gary40@gmail.com,1347340771.0,493 Sarah Run Apt. 207,Munich,Berlin,32319.0,Germany,20.0,Female,Low,Regular,9/29/2023,2023.0,September,22:05:03,9.0,296.7991655,2671.19249,Home Decor,Home Depot,Furniture,Bad,Express,Debit Card,Pending,1.0,Sofa
8778155.0,95481.0,Brandon Joyce,Cheryl66@gmail.com,9344151196.0,6424 Hernandez Fork Apt. 108,Newcastle,New South Wales,20313.0,Australia,20.0,Female,Medium,Premium,2/10/2024,2024.0,February,20:39:16,3.0,184.1157141,552.3471423,Grocery,Pepsi,Soft Drink,Bad,Same-Day,Credit Card,Delivered,1.0,Grape soda
9751813.0,18358.0,Kevin Huber,Michelle14@gmail.com,6524125918.0,299 Kevin Ports Apt. 792,Newcastle,New South Wales,61128.0,Australia,20.0,Female,High,New,6/28/2023,2023.0,June,12:01:51,7.0,419.8943091,2939.260164,Electronics,Apple,Smartphone,Good,Same-Day,Cash,Shipped,4.0,Huawei P
7613434.0,60592.0,Laura Tanner,Amanda93@gmail.com,2123992318.0,4949 Lane Shoals Suite 459,Essen,Berlin,62876.0,Germany,20.0,Male,Medium,Regular,3/13/2023,2023.0,March,7:30:46,7.0,232.1158055,1624.810639,Home Decor,IKEA,Lighting,Good,Express,Debit Card,Shipped,4.0,Pendant lights
9314605.0,50606.0,Cheryl Hill,Krista20@gmail.com,8797113045.0,43835 Lori Locks,Frankfurt,Berlin,40586.0,Germany,20.0,Male,Medium,New,1/21/2024,2024.0,January,21:52:36,10.0,220.8348343,2208.348343,Books,Penguin Books,Fiction,Average,Standard,Credit Card,Processing,2.0,Mystery
9621940.0,40666.0,Karen Luna,Autumn75@gmail.com,3606759689.0,485 Cunningham Plain,Nottingham,England,34376.0,UK,20.0,Male,Medium,New,5/30/2023,2023.0,May,17:41:03,6.0,408.385224,2450.311344,Books,Random House,Literature,Average,Same-Day,PayPal,Pending,2.0,Essays
4795633.0,52755.0,Tiffany Holt,Pamela87@gmail.com,7795480671.0,0855 Jeffrey Trace,Nuremberg,Berlin,14240.0,Germany,20.0,Male,Medium,Regular,12/7/2023,2023.0,December,0:30:18,10.0,451.2105669,4512.105669,Home Decor,Bed Bath & Beyond,Kitchen,Bad,Standard,Debit Card,Pending,1.0,Refrigerator
3007613.0,41048.0,Danielle Jacobson,Ann8@gmail.com,7304151848.0,9534 Steven Meadow,Bendigo,New South Wales,68556.0,Australia,20.0,Male,Medium,Premium,3/1/2023,2023.0,March,5:42:07,3.0,321.4702039,964.4106118,Clothing,Nike,Shoes,Bad,Express,Debit Card,Pending,1.0,High heels
